genome,completeness,contamination,length,N50
EHA03781_bin.242.fa.gz,95.72,0.43,1756353,6950
EHA00645_bin.11.fa.gz,50.91,0.0,1187709,3527
EHA03393_bin.15.fa.gz,99.19,5.55,3693690,29844
EHA01439_bin.5.fa.gz,52.29,1.677,1424066,2897
EHA00681_bin.10.fa.gz,59.22,2.594,2205583,2984
EHA03651_bin.252.fa.gz,76.44,3.1,3012802,41182
EHA03596_bin.6.fa.gz,97.75,0.57,2669943,33051
EHA03407_bin.26.fa.gz,87.49,0.43,3730738,43178
EHA03781_bin.775.fa.gz,56.18,1.03,787693,3214
EHA00726_bin.42.fa.gz,67.84,0.514,1990607,2795
EHA03694_bin.332.fa.gz,90.37,2.77,1728492,8504
EHA01825_bin.14.fa.gz,97.24,0.84,2113891,3577
EHA00654_bin.15.fa.gz,80.03,1.839,4388310,89068
EHA03781_bin.154.fa.gz,87.57,2.3,4318309,9391
EHA00668_bin.6.fa.gz,95.56,0.806,2123866,151052
EHA02915_bin.15.fa.gz,96.93,1.19,1853807,16428
EHA03380_bin.24.fa.gz,98.47,0.01,2407717,89905
EHA03694_bin.346.fa.gz,90.04,2.76,2395937,10120
EHA03781_bin.391.fa.gz,97.43,0.3,775130,45102
EHA03593_bin.12.fa.gz,77.95,1.7,1596185,4789
EHA03408_bin.20.fa.gz,91.19,3.07,5312555,74722
EHA03755_bin.175.fa.gz,62.15,1.97,1773433,4543
EHA03694_bin.23.fa.gz,75.77,1.78,1629314,5037
EHA03408_bin.31.fa.gz,85.75,0.08,3873102,54947
EHA03436_bin.1.fa.gz,100.0,0.0,2015049,68625
EHA03373_bin.45.fa.gz,71.7,1.54,2107386,12616
EHA03781_bin.704.fa.gz,97.22,0.71,2744607,45815
EHA00666_bin.18.fa.gz,81.12,5.87,3137853,4052
EHA00726_bin.37.fa.gz,55.22,1.724,1083644,3445
EHA03694_bin.297.fa.gz,91.94,2.72,2122158,13433
EHA01404_bin.130.fa.gz,69.14,1.582,2880823,3469
EHA03755_bin.361.fa.gz,54.11,0.22,1930404,3664
EHA01436_bin.44.fa.gz,51.2,3.448,2477728,7978
EHA00659_bin.10.fa.gz,99.28,0.526,2884916,27096
EHA03781_bin.238.fa.gz,96.89,1.51,2966947,71896
EHA01426_bin.1.fa.gz,77.01,2.167,3198492,5850
EHA03390_bin.13.fa.gz,79.28,2.17,2594498,4762
EHA00653_bin.4.fa.gz,96.08,0.671,3324260,12713
EHA01432_bin.135.fa.gz,93.56,0.633,3168554,73050
EHA00651_bin.25.fa.gz,98.65,0.305,3600726,87314
EHA03378_bin.12.fa.gz,100.0,0.1,2991565,87503
EHA03419_bin.30.fa.gz,98.1,0.6,4252985,20190
EHA00686_bin.13.fa.gz,70.18,1.476,1526528,8332
EHA03651_bin.508.fa.gz,51.04,9.34,1112557,2999
EHA03391_bin.30.fa.gz,54.78,7.79,1245666,5654
EHA03586_bin.35.fa.gz,85.58,2.69,3521505,12220
EHA03383_bin.7.fa.gz,57.63,1.32,1754563,2900
EHA01415_bin.114.fa.gz,58.24,0.0,2458247,2984
EHA01404_bin.53.fa.gz,92.3,1.466,1984215,11081
EHA03436_bin.23.fa.gz,99.91,0.08,1987983,121218
EHA01404_bin.67.fa.gz,74.56,0.0,2508816,3841
EHA03597_bin.11.fa.gz,61.45,3.8,1484135,2677
EHA03419_bin.3.fa.gz,99.7,1.44,6281562,126866
EHA03694_bin.568.fa.gz,50.63,0.11,714143,2908
EHA03392_bin.7.fa.gz,77.69,1.36,2608671,3796
EHA03781_bin.734.fa.gz,94.78,0.0,2184172,327402
EHA03418_bin.20.fa.gz,84.69,1.26,5710708,90435
EHA03694_bin.353.fa.gz,99.93,0.01,2603664,81028
EHA03396_bin.20.fa.gz,57.06,1.07,1118622,2980
EHA03440_bin.18.fa.gz,57.15,9.78,2618469,2258
EHA03651_bin.224.fa.gz,95.53,2.07,2560621,40642
EHA03412_bin.6.fa.gz,89.49,0.25,4194397,57436
EHA03781_bin.217.fa.gz,92.13,2.48,2465917,9382
EHA03781_bin.419.fa.gz,75.44,1.66,2635258,12990
EHA03651_bin.21.fa.gz,96.1,3.34,826763,2859
EHA00728_bin.8.fa.gz,93.89,0.097,1812484,9348
EHA00719_bin.11.fa.gz,51.3,0.559,981197,3046
EHA03440_bin.32.fa.gz,60.86,0.01,2151205,3555
EHA01432_bin.132.fa.gz,96.2,0.019,4503093,46871
EHA00686_bin.8.fa.gz,97.93,1.053,4265753,69780
EHA00726_bin.16.fa.gz,95.71,0.0,3022370,28862
EHA02915_bin.130.fa.gz,57.2,1.78,2783480,7695
EHA03423_bin.29.fa.gz,97.56,0.15,3743626,54350
EHA03399_bin.19.fa.gz,90.78,1.96,3369384,10847
EHA03755_bin.360.fa.gz,56.54,2.09,1670601,3893
EHA03781_bin.170.fa.gz,91.67,0.83,3465869,4699
EHA00645_bin.19.fa.gz,97.97,0.768,1458055,8232
EHA03415_bin.1.fa.gz,97.12,0.23,3694903,152785
EHA03755_bin.147.fa.gz,89.67,1.73,3530140,35513
EHA03375_bin.16.fa.gz,99.99,1.1,4384177,158280
EHA03390_bin.21.fa.gz,90.8,0.4,5924874,40418
