genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
EHA01443_bin.110.fa.gz,1_1,0.020000000000000018,average,fastANI,1
EHA03694_bin.198.fa.gz,1_1,0.020000000000000018,average,fastANI,1
EHA01443_bin.97.fa.gz,2_1,0.020000000000000018,average,fastANI,2
EHA03694_bin.200.fa.gz,2_1,0.020000000000000018,average,fastANI,2
EHA03449_bin.17.fa.gz,3_0,0.020000000000000018,average,fastANI,3
EHA00688_bin.11.fa.gz,4_1,0.020000000000000018,average,fastANI,4
EHA01439_bin.40.fa.gz,4_1,0.020000000000000018,average,fastANI,4
EHA03694_bin.399.fa.gz,4_1,0.020000000000000018,average,fastANI,4
EHA03694_bin.306.fa.gz,5_0,0.020000000000000018,average,fastANI,5
EHA03390_bin.3.fa.gz,6_0,0.020000000000000018,average,fastANI,6
EHA03781_bin.241.fa.gz,7_0,0.020000000000000018,average,fastANI,7
EHA03694_bin.192.fa.gz,8_0,0.020000000000000018,average,fastANI,8
EHA00652_bin.12.fa.gz,9_1,0.020000000000000018,average,fastANI,9
EHA00728_bin.8.fa.gz,9_1,0.020000000000000018,average,fastANI,9
EHA03453_bin.7.fa.gz,9_1,0.020000000000000018,average,fastANI,9
EHA01426_bin.74.fa.gz,10_1,0.020000000000000018,average,fastANI,10
EHA01436_bin.18.fa.gz,10_2,0.020000000000000018,average,fastANI,10
EHA03431_bin.58.fa.gz,10_3,0.020000000000000018,average,fastANI,10
EHA01421_bin.59.fa.gz,11_1,0.020000000000000018,average,fastANI,11
EHA03416_bin.1.fa.gz,11_1,0.020000000000000018,average,fastANI,11
EHA03781_bin.253.fa.gz,12_0,0.020000000000000018,average,fastANI,12
EHA01404_bin.123.fa.gz,13_1,0.020000000000000018,average,fastANI,13
EHA03781_bin.19.fa.gz,13_2,0.020000000000000018,average,fastANI,13
EHA03449_bin.9.fa.gz,14_0,0.020000000000000018,average,fastANI,14
EHA00643_bin.11.fa.gz,15_1,0.020000000000000018,average,fastANI,15
